Ethnicity	Ethnic Group
Serbs of Croatia	White
Slavs	White
Slovaks	White
Slovenes	White
Soviet people	White
Spaniards	White
Spanish immigration to Mexico	White
Spanish people of Filipino ancestry	White
Swedes	White
Swedish-speaking population of Finland	White
Swiss	White
Sámi peoples	White
Tatars	White
Tejano	White
Transylvanian Saxons	White
Ukrainians	White
Uruguayans	White
Venezuelans	White
Welsh American	White
Welsh people	White
White Africans of European ancestry	White
White Americans	White
White British	White
White Latin American	White
White South Africans	White
Yugoslavs	White
white people	White
Afro-Asians	Mixed or multiple ethnic groups
Afro-Cuban	Mixed or multiple ethnic groups
Afro-Guyanese	Mixed or multiple ethnic groups
Albanian American	Mixed or multiple ethnic groups
Anglo-Celtic Australians	Mixed or multiple ethnic groups
Anglo-Indian people	Mixed or multiple ethnic groups
Arab Americans	Mixed or multiple ethnic groups
Arab Mexican	Mixed or multiple ethnic groups
Armenian American	Mixed or multiple ethnic groups
Aromanians	Mixed or multiple ethnic groups
Asian Americans	Mixed or multiple ethnic groups
Austrian Americans	Mixed or multiple ethnic groups
Bahamian Americans	Mixed or multiple ethnic groups
Baltic Russians	Mixed or multiple ethnic groups
Bangladeshi American	Mixed or multiple ethnic groups
Barbadian American	Mixed or multiple ethnic groups
Bolivian American	Mixed or multiple ethnic groups
Brazilian Americans	Mixed or multiple ethnic groups
British African Caribbean people	Mixed or multiple ethnic groups
British Asian	Mixed or multiple ethnic groups
British Chinese	Mixed or multiple ethnic groups
British Indian people	Mixed or multiple ethnic groups
British Jamaican	Mixed or multiple ethnic groups
British Nigerian	Mixed or multiple ethnic groups
British Pakistanis	Mixed or multiple ethnic groups
Bulgarian Canadians	Mixed or multiple ethnic groups
Burmese Americans	Mixed or multiple ethnic groups
Cambodian Americans	Mixed or multiple ethnic groups
Chilean American	Mixed or multiple ethnic groups
Chinese Americans	Mixed or multiple ethnic groups
Chinese Canadians	Mixed or multiple ethnic groups
Chinese Jamaicans	Mixed or multiple ethnic groups
Colombian Americans	Mixed or multiple ethnic groups
Colombian Australian	Mixed or multiple ethnic groups
Croatian Americans	Mixed or multiple ethnic groups
Croatian Australians	Mixed or multiple ethnic groups
Croatian Canadians	Mixed or multiple ethnic groups
Cuban American	Mixed or multiple ethnic groups
Czech Americans	Mixed or multiple ethnic groups
Czech Australians	Mixed or multiple ethnic groups
Danish Americans	Mixed or multiple ethnic groups
Danish Canadians	Mixed or multiple ethnic groups
Dominican Americans	Mixed or multiple ethnic groups
Dutch Americans	Mixed or multiple ethnic groups
Dutch Australian	Mixed or multiple ethnic groups
Dutch Canadians	Mixed or multiple ethnic groups
Ecuadorian Americans	Mixed or multiple ethnic groups
Eurasian	Mixed or multiple ethnic groups
European Americans	Mixed or multiple ethnic groups
Filipino Americans	Mixed or multiple ethnic groups
Filipino Australians	Mixed or multiple ethnic groups
Filipino mestizo	Mixed or multiple ethnic groups
Finnish Americans	Mixed or multiple ethnic groups
French Americans	Mixed or multiple ethnic groups
French Chilean	Mixed or multiple ethnic groups
German Americans	Mixed or multiple ethnic groups
German Brazilians	Mixed or multiple ethnic groups
German Canadians	Mixed or multiple ethnic groups
Ghanaian American	Mixed or multiple ethnic groups
Greek American	Mixed or multiple ethnic groups
Greek Australian	Mixed or multiple ethnic groups
Greek Canadians	Mixed or multiple ethnic groups
Guyanese American	Mixed or multiple ethnic groups
Haitian American	Mixed or multiple ethnic groups
